id,ra,dec,ra_error,dec_error,nobs_b,mag_b,err_mag_b,nobs_v,mag_v,err_mag_v,nobs_u,mag_u,err_mag_u,nobs_g,mag_g,err_mag_g,nobs_r,mag_r,err_mag_r,nobs_i,mag_i,err_mag_i,nobs_z_s,mag_z_s,err_mag_z_s,nobs_y,mag_y,err_mag_y
125-0407891,198.153506,36.52908,0.0002288889,0.00020694445,3,17.725,0.109,3,17.022,0.245,0,,,6,17.4,0.146,5,16.272,0.078,4,15.819,0.257,0,,,0,,
125-0015333,198.142972,36.552488,0.000245,0.00024999998,4,17.205,0.252,4,16.099,0.097,0,,,6,16.706,0.23,6,15.637,0.169,5,15.102,0.117,0,,,0,,
125-0407884,198.13865,36.564501,0.00020555555,7.194444e-05,0,,,0,,,0,,,1,18.274,0.201,1,17.432,0.268,1,15.974,0.186,0,,,0,,
125-0015431,198.374004,36.395726,6.305555e-05,8e-05,4,14.432,0.075,4,13.934,0.058,0,,,4,14.097,0.047,4,13.801,0.062,4,13.626,0.048,0,,,0,,
125-0015444,198.398863,36.403048,0.00010138889,8.8611116e-05,4,15.528,0.056,4,14.659,0.079,0,,,4,15.014,0.052,4,14.371,0.072,4,14.032,0.066,0,,,0,,
125-0015347,198.197469,36.484202,0.00018222223,0.00014777778,3,17.023,0.264,3,15.636,0.047,0,,,3,16.293,0.111,3,15.105,0.065,3,14.387,0.033,0,,,0,,
125-0015363,198.244349,36.493787,4.0555555e-05,3.111111e-05,4,13.167,0.072,4,12.659,0.068,0,,,4,12.821,0.049,4,12.525,0.073,4,12.364,0.059,0,,,0,,
125-0407991,198.300766,36.435297,0.00012888889,0.00015749999,3,17.124,0.077,3,16.186,0.074,0,,,4,16.611,0.066,4,15.706,0.036,3,15.32,0.07,0,,,0,,
125-0408010,198.349213,36.426976,0.00013527778,0.00018305556,4,16.785,0.107,4,16.345,0.084,0,,,4,16.458,0.037,4,16.13,0.07,2,15.815,0.018,0,,,0,,
125-0015420,198.350289,36.439214,0.00010361111,0.00012055555,4,17.198,0.082,4,16.355,0.071,0,,,4,16.667,0.096,4,16.027,0.126,3,15.509,0.161,0,,,0,,
125-0015380,198.288401,36.495778,7.166666e-05,3.5e-05,4,11.909,0.071,4,11.333,0.058,0,,,4,11.539,0.05,4,11.178,0.066,4,10.992,0.049,0,,,0,,
125-0407970,198.236249,36.5238,0.00013361112,0.00013972222,4,16.237,0.13,4,15.557,0.092,0,,,4,15.804,0.049,4,15.271,0.123,3,15.058,0.012,0,,,0,,
125-0407910,198.209959,36.557216,8.888889e-05,5.5e-05,4,11.981,0.071,4,11.004,0.062,0,,,4,11.407,0.054,4,10.7,0.069,4,10.348,0.057,0,,,0,,
125-0015348,198.197663,36.56889,6.75e-05,5.388889e-05,4,14.29,0.057,4,13.541,0.054,0,,,4,13.822,0.056,4,13.291,0.071,4,13.051,0.069,0,,,0,,
125-0015384,198.294156,36.502719,0.00011722222,0.00012527777,4,15.499,0.1,4,14.782,0.074,0,,,4,15.049,0.045,4,14.506,0.08,4,14.25,0.082,0,,,0,,
125-0015427,198.361746,36.488009,0.00012861111,0.00012861111,4,15.972,0.098,4,15.227,0.067,0,,,4,15.517,0.053,4,15.015,0.069,4,14.773,0.055,0,,,0,,
125-0015387,198.297932,36.544846,0.00010361111,0.0001225,4,15.39,0.12,4,14.828,0.084,0,,,4,15.017,0.052,4,14.668,0.097,4,14.464,0.107,0,,,0,,
125-0408009,198.346067,36.556862,0.00023972221,0.00025333333,4,17.262,0.15,4,16.62,0.051,0,,,2,16.797,0.054,2,16.353,0.202,0,,,0,,,0,,
125-0015464,198.438884,36.410343,0.0001225,0.00013861111,4,15.984,0.078,4,15.232,0.068,0,,,4,15.524,0.052,4,14.959,0.057,4,14.707,0.096,0,,,0,,
125-0408058,198.46481,36.426628,0.0001561111,0.0001775,3,17.458,0.03,3,16.578,0.164,0,,,3,16.941,0.113,3,16.14,0.067,2,15.981,0.041,0,,,0,,
125-0408052,198.455272,36.432104,0.00010666667,0.000113055554,4,16.87,0.065,4,16.261,0.197,0,,,4,16.465,0.062,4,16.305,0.157,1,15.941,0.175,0,,,0,,
125-0015459,198.431382,36.460329,8e-05,0.00010111111,4,14.799,0.067,4,14.305,0.056,0,,,4,14.469,0.047,4,14.163,0.066,4,13.957,0.072,0,,,0,,
125-0408081,198.49989,36.439874,0.00011166667,0.00015583333,4,16.724,0.11,4,16.216,0.211,0,,,4,16.335,0.045,4,16.056,0.089,2,15.599,0.096,0,,,0,,
125-0408042,198.426408,36.499016,0.00025333333,0.00010777778,0,,,0,,,0,,,1,17.781,0.228,1,16.98,0.182,0,,,0,,,0,,
